Endpoint Name	Endpoint Type	Endpoint Status	Operating System	Agent Version	IP Address	IPv6 Address	User	Endpoint Alias	Last Seen	Content Version	Assigned Prevention Policy	Assigned Extensions Policy	Tags	Active Directory	Last Upgrade Status	Last Upgrade Status Time	Last Upgrade Failure Reason	Last Upgrade Source	Linux Operation Mode	IT Metrics Collection	Last Certificate Enforcement Fallback	Cluster Name	Cloud Provider	Cloud Region	Cloud Provider Account ID	Cloud Instance ID
Administrator	Workstation	Connected	Windows 10	8.9.0.14028	10.100.238.110		N/A\localadmin123		Oct 15th 2025 11:16:20	1980-24216	Phase2-Windows - RCC - Report Mode policy	Windows Default	{'server_tags': ['J6-B7', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
ae	Workstation	Connected	Windows 11	8.9.0.14028	10.104.126.22, 10.142.18.248		N/A\DELL		Oct 15th 2025 11:14:33	1980-24216	Lowed Ram	Windows Default	{'server_tags': ['OIG-B6', 'Phase2', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
appserv1	Server	Disconnected	Ubuntu 22.04	8.9.0.136780	10.104.7.149				Sep 29th 2025 09:12:47	1960-23396	Linux - Report mode policy with content caching	Linux Default	{'server_tags': ['Server_Linux'], 'endpoint_tags': []}		No Upgrade				Kernel	Disabled			On Prem			
appserv2	Server	Disconnected	Ubuntu 22.04	8.9.0.136780	10.104.7.189				Sep 30th 2025 21:08:45	1970-23938	Linux - Report mode policy with content caching	Linux Default	{'server_tags': ['Server_Linux'], 'endpoint_tags': []}		No Upgrade				Kernel	Disabled			On Prem			
Audit1-3	Workstation	Connected	Windows 11	8.9.0.14028	10.142.28.244		N/A\Audit1-2		Oct 15th 2025 11:14:21	1980-24216	Lowed Ram	Windows Default	{'server_tags': ['OIA-B5', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
Bank-pc	Workstation	Connected	Windows 11	8.9.0.14028	10.142.20.68		N/A\10104125120		Oct 15th 2025 11:14:34	1980-24216	Lowed Ram	Windows Default	{'server_tags': ['OIA-B5', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
budget1	Workstation	Connected	Windows 10	8.9.0.14028	10.104.125.53		N/A\RTARF		Oct 15th 2025 11:17:46	1980-24216	Lowed Ram	Windows Default	{'server_tags': ['OIA-B5', 'Phase2', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
C03010402125088	Workstation	Connected	Windows 10	8.9.0.14028	10.104.125.88		N/A\RTARF		Oct 15th 2025 11:17:56	1980-24216	Lowed Ram	Windows Default	{'server_tags': ['OIA-B5', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
C03081002208180	Workstation	Connected	Windows 10	8.9.0.14028	10.104.108.157		N/A\C03081002208180		Oct 15th 2025 11:14:35	1980-24216	Phase2-Windows - RCC - Report Mode policy	Windows Default	{'server_tags': ['OCG-B5', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
C03130001112047	Workstation	Connected	Windows 11	8.9.0.14028	10.104.112.47		N/A\C03130001112049		Oct 15th 2025 11:14:07	1980-24216	Phase2-Windows - RCC - Report Mode policy	Windows Default	{'server_tags': ['FIN-B4', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
C03130001112062	Workstation	Disconnected	Windows 11	8.9.0.14028	10.104.112.62				Oct 14th 2025 15:30:00	1980-24216	Phase2-Windows - RCC - Report Mode policy	Windows Default	{'server_tags': ['FIN-B4', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
C03130001112205	Workstation	Connected	Windows 10	8.9.0.14028	10.104.112.205		N/A\C03130001112205		Oct 15th 2025 11:16:40	1980-24216	Lowed Ram	Windows Default	{'server_tags': ['FIN-B4', 'Phase2', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
C03130002112151	Workstation	Disconnected	Windows 10	8.9.0.14028	10.104.112.151				Oct 9th 2025 16:28:14	1980-24216	Phase2-Windows - RCC - Report Mode policy	Windows Default	{'server_tags': ['FIN-B4', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
C03130002112214	Workstation	Disconnected	Windows 10	8.9.0.14028	10.104.112.214		N/A\Babymind		Oct 15th 2025 11:01:12	1980-24216	Phase2-Windows - RCC - Report Mode policy	Windows Default	{'server_tags': ['FIN-B4', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
C03130004112127	Workstation	Disconnected	Windows 10	8.9.0.14028	10.104.112.127		N/A\User		Oct 15th 2025 10:46:48	1980-24216	Lowed Ram	Windows Default	{'server_tags': ['FIN-B4', 'Phase2', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
C03130004112192	Workstation	Disconnected	Windows 10	8.9.0.14028	10.104.112.192		N/A\C03130004112192		Oct 15th 2025 08:58:37	1980-24216	Lowed Ram	Windows Default	{'server_tags': ['FIN-B4', 'Phase2', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
C03130006112178	Workstation	Disconnected	Windows 10	8.9.0.14028	10.104.112.178				Oct 15th 2025 09:50:22	1980-24216	Phase2-Windows - RCC - Report Mode policy	Windows Default	{'server_tags': ['FIN-B4', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
C03130007112246	Workstation	Connected	Windows 11	8.9.0.14028	10.142.29.222		N/A\User		Oct 15th 2025 11:13:30	1980-24216	Phase2-Windows - RCC - Report Mode policy	Windows Default	{'server_tags': ['DAG-B9', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
CCSD-ANA01-005	Workstation	Disconnected	Windows 11	8.9.0.14028	10.142.20.252		N/A\Jiratham.S		Oct 14th 2025 15:30:30	1980-24216	Phase2-Windows - RCC - Report Mode policy	Windows Default	{'server_tags': ['J6-B7', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
CloudIdentity	Server	Connected	Windows Server 2022	8.9.0.14028	10.104.117.112				Oct 15th 2025 11:15:47	1980-24216	Windows - Report mode policy with Content caching	Windows Default	{'server_tags': ['Server'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dag-001	Workstation	Connected	Windows 11	8.9.0.14028	10.104.239.11		rtarf.mi.th\wararat.n		Oct 15th 2025 11:17:54	1980-24216	Windows - RCC - Block Mode policy	Windows Default	{'server_tags': ['DAG-B9'], 'endpoint_tags': []}	rtarf.local/networkaccess, rtarf.local/g_center_calendar10, rtarf.local/domain users, rtarf.local/stafflan, rtarf.local/6000000000, rtarf.local/staffwifi-users, rtarf.local/networkauthen, rtarf.local/1-old ous/sharepoint/central calendar_ou, rtarf.local/g_center_calendar09, rtarf.local/users, rtarf.local/1-old ous/sharepoint, rtarf.local/networkaccess/iamauthen-users, rtarf.local/1-old ous, rtarf.local/1-old ous/sharepoint/test2013, rtarf.local/g_center_calendar_view, rtarf.local/networkaccess/arubawifi-users, rtarf.local/vpn_group, rtarf.local/1-ecm, rtarf.local/1-security groups, rtarf.local/1-old ous/agd, rtarf.local/6000000000/6310000000/computers, rtarf.local/agdlearnecm, rtarf.local/vpn.dag, rtarf.local/6000000000/6010000000, rtarf.local/ad-agd group, rtarf.local/docagdlearn, rtarf.local/6000000000/6010000000/users	No Upgrade					Disabled			On Prem			
dag-005	Workstation	Connected	Windows 11	8.9.0.14028	10.142.27.43		rtarf.mi.th\pannachai.w		Oct 15th 2025 11:17:11	1980-24216	Phase2-Windows - RCC - Report Mode policy	Windows Default	{'server_tags': ['DAG-B9', 'Phase2'], 'endpoint_tags': []}	rtarf.local/networkaccess, rtarf.local/g_center_calendar10, rtarf.local/domain users, rtarf.local/stafflan, rtarf.local/6000000000, rtarf.local/staffwifi-users, rtarf.local/networkauthen, rtarf.local/1-old ous/sharepoint/central calendar_ou, rtarf.local/g_center_calendar09, rtarf.local/users, rtarf.local/1-old ous/sharepoint, rtarf.local/networkaccess/iamauthen-users, rtarf.local/1-old ous, rtarf.local/1-old ous/sharepoint/test2013, rtarf.local/g_center_calendar_view, rtarf.local/networkaccess/arubawifi-users, rtarf.local/vpn_group, rtarf.local/1-ecm, rtarf.local/1-security groups, rtarf.local/6000000000/6310000000/computers, rtarf.local/agdlearnecm, rtarf.local/vpn.dag, rtarf.local/6000000000/6310000000, rtarf.local/docagdlearn, rtarf.local/6000000000/6310000000/users	No Upgrade					Disabled			On Prem			
dag-009	Workstation	Connected	Windows 11	8.9.0.14028	10.142.29.185		rtarf.mi.th\thanyared.ch		Oct 15th 2025 11:14:45	1980-24216	Phase2-Windows - RCC - Report Mode policy	Windows Default	{'server_tags': ['DAG-B9', 'Phase2'], 'endpoint_tags': []}	rtarf.local/networkaccess, rtarf.local/g_center_calendar10, rtarf.local/domain users, rtarf.local/stafflan, rtarf.local/6000000000, rtarf.local/staffwifi-users, rtarf.local/networkauthen, rtarf.local/1-old ous/sharepoint/central calendar_ou, rtarf.local/g_center_calendar09, rtarf.local/users, rtarf.local/1-old ous/sharepoint, rtarf.local/networkaccess/iamauthen-users, rtarf.local/1-old ous, rtarf.local/1-old ous/sharepoint/test2013, rtarf.local/g_center_calendar_view, rtarf.local/networkaccess/arubawifi-users, rtarf.local/6000000000/6310000000/computers, rtarf.local/6000000000/6310000000, rtarf.local/6000000000/6310000000/users	No Upgrade					Disabled			On Prem			
DAG-12-4-3-004	Workstation	Disconnected	Windows 10	8.9.0.14028	10.104.239.241				Oct 13th 2025 17:39:50	1980-24216	Windows - RCC - Block Mode policy	Windows Default	{'server_tags': ['DAG-B9'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
DAG-12-4-3-006	Workstation	Disconnected	Windows 10	8.9.0.14028	10.104.239.225		rtarf.mi.th\krit.chu		Oct 14th 2025 23:14:58	1980-24216	Lowed Ram	Windows Default	{'server_tags': ['DAG-B9', 'SlowDown'], 'endpoint_tags': []}	rtarf.local/networkaccess, rtarf.local/g_center_calendar10, rtarf.local/domain users, rtarf.local/stafflan, rtarf.local/6000000000, rtarf.local/staffwifi-users, rtarf.local/networkauthen, rtarf.local/1-old ous/sharepoint/central calendar_ou, rtarf.local/g_center_calendar09, rtarf.local/users, rtarf.local/1-old ous/sharepoint, rtarf.local/networkaccess/iamauthen-users, rtarf.local/1-old ous, rtarf.local/1-old ous/sharepoint/test2013, rtarf.local/g_center_calendar_view, rtarf.local/networkaccess/arubawifi-users, rtarf.local/vpn_group, rtarf.local/6000000000/6310000000/computers, rtarf.local/vpn.dag, rtarf.local/6000000000/6310000000, rtarf.local/6000000000/6310000000/users	No Upgrade					Disabled			On Prem			
dba-0316-0-001	Workstation	Disconnected	Windows 11	8.9.0.14028	10.104.120.251, 10.142.21.88		N/A\ADMIN		Oct 15th 2025 10:51:00	1980-24216	Windows - RCC - Block Mode policy	Windows Default	{'server_tags': ['DBA-B3'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
DBA-0316-00-002	Workstation	Disconnected	Windows 11	8.9.0.14028	10.142.29.152				Oct 15th 2025 10:42:14	1980-24216	Windows - RCC - Block Mode policy	Windows Default	{'server_tags': ['DBA-B3'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-10-001	Workstation	Disconnected	Windows 11	8.9.0.14028	10.104.120.91				Oct 9th 2025 15:54:20	1980-24216	Phase2-Windows - RCC - Report Mode policy	Windows Default	{'server_tags': ['DBA-B3', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-10-003	Workstation	Connected	Windows 10	8.9.0.14028	10.104.120.94		N/A\RTARF		Oct 15th 2025 11:14:57	1980-24216	Lowed Ram	Windows Default	{'server_tags': ['DBA-B3', 'Phase2', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-10-006	Workstation	Disconnected	Windows 10	8.9.0.14028	10.104.120.110		N/A\Col.Yuttapon		Oct 10th 2025 20:59:29	1980-24216	Lowed Ram	Windows Default	{'server_tags': ['DBA-B3', 'Phase2', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-11-003	Workstation	Connected	Windows 10	8.9.0.14028	10.142.29.175		N/A\User_Pc002		Oct 15th 2025 11:17:29	1980-24216	Lowed Ram	Windows Default	{'server_tags': ['DBA-B3', 'Phase2', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-11-004	Workstation	Disconnected	Windows 10	8.9.0.14028	10.142.28.164		N/A\RTARF		Oct 14th 2025 12:30:01	1980-24216	Lowed Ram	Windows Default	{'server_tags': ['DBA-B3', 'Phase2', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-12-02	Workstation	Connected	Windows 10	8.9.0.14028	10.142.21.187		N/A\Windows 10		Oct 15th 2025 11:16:07	1980-24216	Phase2-Windows - RCC - Report Mode policy	Windows Default	{'server_tags': ['DBA-B3', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-12-03	Workstation	Connected	Windows 10	8.9.0.14028	10.104.120.3		N/A\lek		Oct 15th 2025 11:14:00	1980-24216	Phase2-Windows - RCC - Report Mode policy	Windows Default	{'server_tags': ['DBA-B3', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-13-01	Workstation	Connected	Windows 10	8.9.0.14028	10.104.120.183		N/A\now		Oct 15th 2025 11:17:27	1980-24216	Phase2-Windows - RCC - Report Mode policy	Windows Default	{'server_tags': ['DBA-B3', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-13-02	Workstation	Disconnected	Windows 10	8.9.0.14028	10.104.100.160		N/A\oak		Oct 14th 2025 15:07:13	1980-24216	Phase2-Windows - RCC - Report Mode policy	Windows Default	{'server_tags': ['DBA-B3', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-14-01	Workstation	Connected	Windows 11	8.9.0.14028	10.142.28.185		N/A\wut		Oct 15th 2025 11:05:15	1980-24216	Phase2-Windows - RCC - Report Mode policy	Windows Default	{'server_tags': ['DBA-B3', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-14-02	Workstation	Connected	Windows 10	8.9.0.14028	10.142.28.212		N/A\Administrator		Oct 15th 2025 11:17:04	1980-24216	Phase2-Windows - RCC - Report Mode policy	Windows Default	{'server_tags': ['DBA-B3', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-14-03	Workstation	Connected	Windows 10	8.9.0.14028	10.142.29.180		N/A\mam		Oct 15th 2025 11:16:45	1980-24216	Phase2-Windows - RCC - Report Mode policy	Windows Default	{'server_tags': ['DBA-B3', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-14-04	Workstation	Disconnected	Windows 10	8.9.0.14028	10.104.120.197				Oct 15th 2025 10:50:53	1980-24216	Phase2-Windows - RCC - Report Mode policy	Windows Default	{'server_tags': ['DBA-B3', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-15-03	Workstation	Connected	Windows 10	8.9.0.14028	10.142.29.9		N/A\Windows 10		Oct 15th 2025 11:16:17	1980-24216	Lowed Ram	Windows Default	{'server_tags': ['DBA-B3', 'Phase2', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-2-001	Workstation	Connected	Windows 11	8.9.0.14028	10.104.120.86		N/A\EasyDEC24		Oct 15th 2025 11:16:25	1980-24216	Windows - RCC - Block Mode policy	Windows Default	{'server_tags': ['DBA-B3'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-2-008	Workstation	Connected	Windows 10	8.9.0.14028	10.104.120.85		N/A\CC DBA		Oct 15th 2025 11:14:11	1980-24216	Lowed Ram	Windows Default	{'server_tags': ['DBA-B3', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-2-010	Workstation	Connected	Windows 10	8.9.0.14028	10.104.120.191		N/A\Hansa		Oct 15th 2025 11:14:33	1980-24216	Windows - RCC - Block Mode policy	Windows Default	{'server_tags': ['DBA-B3'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-2-011	Workstation	Disconnected	Windows 10	8.9.0.14028	10.104.120.75				Oct 14th 2025 17:32:35	1980-24216	Windows - RCC - Block Mode policy	Windows Default	{'server_tags': ['DBA-B3'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-2-014	Workstation	Connected	Windows 10	8.9.0.14028	10.104.120.109		N/A\DBA		Oct 15th 2025 11:15:34	1980-24216	Lowed Ram	Windows Default	{'server_tags': ['DBA-B3', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-2-015	Workstation	Connected	Windows 10	8.9.0.14028	10.104.120.105		N/A\pui		Oct 15th 2025 11:13:48	1980-24216	Lowed Ram	Windows Default	{'server_tags': ['DBA-B3', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
DBA-0316-3-002	Workstation	Connected	Windows 10	8.9.0.14028	10.104.120.147		N/A\DBA Plan PC		Oct 15th 2025 11:13:57	1980-24216	Lowed Ram	Windows Default	{'server_tags': ['DBA-B3', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-3-003	Workstation	Disconnected	Windows 10	8.9.0.14028	10.104.120.138				Oct 14th 2025 10:59:36	1980-24216	Windows - RCC - Block Mode policy	Windows Default	{'server_tags': ['DBA-B3'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-3-004	Workstation	Connected	Windows 10	8.9.0.14028	10.104.120.143		N/A\AUI PC DBA PLAN		Oct 15th 2025 11:17:41	1980-24216	Windows - RCC - Block Mode policy	Windows Default	{'server_tags': ['DBA-B3'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-3-005	Workstation	Connected	Windows 10	8.9.0.14028	10.104.120.140		N/A\DBA Plan PU		Oct 15th 2025 11:18:22	1980-24216	Windows - RCC - Block Mode policy	Windows Default	{'server_tags': ['DBA-B3'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-3-006	Workstation	Connected	Windows 10	8.9.0.14028	10.104.120.141		N/A\Tik PC		Oct 15th 2025 11:14:57	1980-24216	Lowed Ram	Windows Default	{'server_tags': ['DBA-B3', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-4-04	Workstation	Disconnected	Windows 10	8.9.0.14028	10.104.120.156				Oct 14th 2025 16:32:48	1980-24216	Windows - RCC - Block Mode policy	Windows Default	{'server_tags': ['DBA-B3'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-5-001	Workstation	Disconnected	Windows 10	8.9.0.14028	10.104.120.164				Oct 10th 2025 12:00:18	1980-24216	Lowed Ram	Windows Default	{'server_tags': ['DBA-B3', 'Phase2', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-5-003	Workstation	Connected	Windows 10	8.9.0.14028	10.104.120.167		N/A\RTARF		Oct 15th 2025 11:16:54	1980-24216	Lowed Ram	Windows Default	{'server_tags': ['DBA-B3', 'Phase2', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-5-004	Workstation	Connected	Windows 10	8.9.0.14028	10.104.120.238		N/A\Administrator		Oct 15th 2025 11:17:08	1980-24216	Phase2-Windows - RCC - Report Mode policy	Windows Default	{'server_tags': ['DBA-B3', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-6-002	Workstation	Connected	Windows 10	8.9.0.14028	10.104.120.10		N/A\Administrator		Oct 15th 2025 11:14:56	1980-24216	Phase2-Windows - RCC - Report Mode policy	Windows Default	{'server_tags': ['DBA-B3', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-6-003	Workstation	Connected	Windows 11	8.9.0.14028	10.104.120.236		N/A\DBAbugjet		Oct 15th 2025 11:18:16	1980-24216	Phase2-Windows - RCC - Report Mode policy	Windows Default	{'server_tags': ['DBA-B3', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-6-004	Workstation	Connected	Windows 11	8.9.0.14028	10.142.29.236		N/A\Pornnapa		Oct 15th 2025 11:14:21	1980-24216	Phase2-Windows - RCC - Report Mode policy	Windows Default	{'server_tags': ['DBA-B3', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-6-005	Workstation	Connected	Windows 10	8.9.0.14028	10.104.120.237		N/A\Administrator		Oct 15th 2025 11:18:11	1980-24216	Phase2-Windows - RCC - Report Mode policy	Windows Default	{'server_tags': ['DBA-B3', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-7-004	Workstation	Disconnected	Windows 10	8.9.0.14028	10.104.120.96		N/A\admin		Oct 9th 2025 21:36:18	1980-24216	Phase2-Windows - RCC - Report Mode policy	Windows Default	{'server_tags': ['DBA-B3', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-7-005	Workstation	Connected	Windows 10	8.9.0.14028	10.104.120.55		N/A\RTARF		Oct 15th 2025 11:17:31	1980-24216	Lowed Ram	Windows Default	{'server_tags': ['DBA-B3', 'Phase2', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-8-001	Workstation	Connected	Windows 10	8.9.0.14028	10.104.120.51		N/A\RTARF		Oct 15th 2025 11:15:04	1980-24216	Phase2-Windows - RCC - Report Mode policy	Windows Default	{'server_tags': ['DBA-B3', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-8-003	Workstation	Disconnected	Windows 10	8.9.0.14028	10.104.120.48		N/A\WIN 10 PRO		Oct 15th 2025 10:11:08	1980-24216	Lowed Ram	Windows Default	{'server_tags': ['DBA-B3', 'Phase2', 'SlowDown'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
dba-0316-8-004	Workstation	Connected	Windows 10	8.9.0.14028	10.104.120.49		N/A\Windows 10		Oct 15th 2025 11:18:29	1980-24216	Phase2-Windows - RCC - Report Mode policy	Windows Default	{'server_tags': ['DBA-B3', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
DELL	Workstation	Connected	Windows 11	8.9.0.14028	10.142.28.187		N/A\SVOA		Oct 15th 2025 11:17:49	1980-24216	Phase2-Windows - RCC - Report Mode policy	Windows Default	{'server_tags': ['J6-B7', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
DESKTOP-03CN2E7	Workstation	Connected	Windows 11	8.9.0.14028	10.142.21.161		N/A\PC-021		Oct 15th 2025 11:14:28	1980-24216	Phase2-Windows - RCC - Report Mode policy	Windows Default	{'server_tags': ['J6-B7', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
DESKTOP-06LTGND	Workstation	Disconnected	Windows 11	8.9.0.14028	10.104.108.43, 172.20.10.6	2001:44c8:4764:cbfb:574:a4a4:e90:c2c1, 2001:44c8:4764:cbfb:c007:fc8b:2eb5:3162			Oct 14th 2025 09:20:26	1980-24216	Phase2-Windows - RCC - Report Mode policy	Windows Default	{'server_tags': ['OCG-B5', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
DESKTOP-0PQVS2R	Workstation	Connected	Windows 10	8.9.0.14028	10.104.239.125		N/A\RTARF-GPG		Oct 15th 2025 11:16:59	1980-24216	Phase2-Windows - RCC - Report Mode policy	Windows Default	{'server_tags': ['DAG-B9', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
DESKTOP-11VEH8U	Workstation	Connected	Windows 10	8.9.0.14028	10.104.120.50		N/A\Windows 10		Oct 15th 2025 11:14:33	1980-24216	Phase2-Windows - RCC - Report Mode policy	Windows Default	{'server_tags': ['DBA-B3', 'Phase2'], 'endpoint_tags': []}		No Upgrade					Disabled			On Prem			
